id,date,content,viewCount	,replyCount,retweetCount,likeCount,quoteCount
1608976021923188736,2022-12-30 23:59:11+00:00,"Ukraine will win. Of this I’m sure. And though I’m a simple woodsman from Maine, I can make a difference by giving to direct aid organizations who supply socks and food and ballistic plates to soldiers of the AFU. Distance no longer deters me. Ethically I’m there. Slava Ukraini! https://t.co/fhNR6c5NiA",21864,48,167,1283,9
1608972442697084928,2022-12-30 23:44:58+00:00,"Nazis are freedom fighters, the guy who banned all opposition is a champion of democracy, and flooding Ukraine with weapons is “the fastest way to peace.”

https://t.co/oxD2akfvmQ",14326,32,148,459,15
1608969178584866816,2022-12-30 23:32:00+00:00,"🧵🚨 PART 2: Senior Lieutenant at Russian FSB Counterintelligence defected to Europe. Emran #Navruzbekov talks about his friend, an elite FSB spetsnaz sniper and his tragic failed attempt to defect to Britain with 250gb of evidence of Russian war crimes in #Ukraine. https://t.co/xK5KKRdw9k",203499,5,218,724,11
1608968867635957762,2022-12-30 23:30:45+00:00,"The reason this is all so rushed, the reason that his arrest happened on the very day he was to testify before Congress is BECAUSE the money he laundered thru FTX , Ukraine and other apparatuses is DIRECTLY tied to the White House and the Democratic Party

https://t.co/0NklUWPdxh https://t.co/Cz03vvzPg8",29696,36,864,1921,17
1608967228984299520,2022-12-30 23:24:15+00:00,"L'Ukraine Nazi 
@arnoklarsfeld est un avocat franco israélien, ses parents sont célèbres pour avoir traqué et traduit en justice les criminels de guerres dont d'anciens nazis et sont surnommés les chasseurs de Nazis
#Nazi #NaziUkraine #zelinskywarcriminal #Ukraine @RadioJFrance https://t.co/WtNDHmExxX",41745,94,683,872,81
1608967218523672577,2022-12-30 23:24:12+00:00,"Trump bank account in China... Trump BFF in Russia... Trump extortion of Ukraine... #TrumpIsANationalSecurityRisk
#TaxCheeto  #TrumpTaxReturns  #SlavaUkrainii https://t.co/IBe5rCleqb",21557,7,140,364,5
1608965536100282369,2022-12-30 23:17:31+00:00,"Bloomberg executive editor @TimOBrien in 2018 on Trump's tax returns: Trump may be receiving financial favors from Putin in exchange for key US policy action. For example, the tax returns may show Putin is paying Trump to support the annexation of Ukraine

Any word on this, Tim https://t.co/zcnm9PYlZJ",49975,51,136,549,14
1608965002769362946,2022-12-30 23:15:24+00:00,"As 2022 ends, I want to highlight the people of #NAFO who took time out of their everyday life to support Ukraine. People who chose to do the right thing for no other reason than it is the right thing. Thank you for striving to make our world a better place. Bless you all. https://t.co/CHW9bM9ccY",43657,79,268,1318,13
1608961515000070145,2022-12-30 23:01:32+00:00,"SitRep - 30/12 - Cry me a HIMARS river

An overview of the daily events in the war between Russia and Ukraine. A day on which it became known that Novoselivs'ke was again liberated by unit KRAKEN and HIMARS did a tour on occupied territory with nice results.

1/X https://t.co/c33FIQjIj1",173292,11,113,1398,8
1608961253308784642,2022-12-30 23:00:30+00:00,"Message of the Minister of Defence of Ukraine to the russians who are liable for military service: surrender or die. 
Here is your dilemma for 2023.

🎥 @tv_military https://t.co/Phjdql1zMj",1573521,497,3372,15141,337
1608961029001867264,2022-12-30 22:59:37+00:00,"Those that voted to approve OUR money to Ukraine should not only resign immediately and step down, but they should be criminally tried.

This is the most corrupt movie script pedo club I’ve ever seen, and anyone supporting Ukraine is brainwashed, ignorant, stupid or fondles kids.",18633,44,237,916,10
1608960928921583616,2022-12-30 22:59:13+00:00,"PMC ""Mozart"", always appear where the AFU suffer losses. This may indicate their involvement in the illegal trade in organs in Ukraine.

Yulia Shamal, an investigative journalist studying the issue of ""black transplantology"" in the SMO zone, told URA. RU about this. https://t.co/UsdRaLPPtL",35649,29,216,438,25
1608959384415260677,2022-12-30 22:53:04+00:00,"Of course Russia needs another mobilization. I even doubt that the previous one ever ended. They only said it to calm the population. 

But it is not only Russian lack of manpower which is a problem for Putin but more the lacking gear. #Ukraine 
https://t.co/pZE4IqysWP",260360,167,484,3632,26
