id,date,user,user_followers,raw_content,rendered_content,likes,retweets,replies,quoteCount,hashtags,lang,media,mentionedUsers
1486661338390831105,2022-01-27 11:24:18+00:00,WorldToBe1,10769,"#Russia-#Ukraine debate sparks fiery exchange on #CNN  in 2014 after #USA/#EU/#NATO-backed forces overthrew the democratically elected president of Ukraine, the Russian-leaning #Yanukovych,thus sparking off the #UkraineWar https://t.co/w212BMJFPo #Deutschland #UK #GBR #France #NL","#Russia-#Ukraine debate sparks fiery exchange on #CNN  in 2014 after #USA/#EU/#NATO-backed forces overthrew the democratically elected president of Ukraine, the Russian-leaning #Yanukovych,thus sparking off the #UkraineWar youtu.be/H-B1vWFdPXo #Deutschland #UK #GBR #France #NL",0,0,0,0,"['Russia', 'Ukraine', 'CNN', 'USA', 'EU', 'NATO', 'Yanukovych', 'UkraineWar', 'Deutschland', 'UK', 'GBR', 'France', 'NL']",en,,
1486105614803775490,2022-01-25 22:36:03+00:00,embeegle,2246,Can you say pipeline?  A larger cut coming to  #PutinsPuppet than #ukrainewar will cost.,Can you say pipeline?  A larger cut coming to  #PutinsPuppet than #ukrainewar will cost.,1,1,0,0,"['PutinsPuppet', 'ukrainewar']",en,,
1486019310069989376,2022-01-25 16:53:07+00:00,RaVe_74,5309,"#borisjohnson's expertise in foreign affairs - on trying to #freenazanin, he managed to get her imprisoned indefinitely; was stopped from reciting colonial poems in Myanmar; racially abused Pres. Obama...oh &amp; the #BrexitShambles. Keep him away from the #ukrainewar! #PartyGate","#borisjohnson's expertise in foreign affairs - on trying to #freenazanin, he managed to get her imprisoned indefinitely; was stopped from reciting colonial poems in Myanmar; racially abused Pres. Obama...oh &amp; the #BrexitShambles. Keep him away from the #ukrainewar! #PartyGate",3,1,0,0,"['borisjohnson', 'freenazanin', 'BrexitShambles', 'ukrainewar', 'PartyGate']",en,,
1485648772487163907,2022-01-24 16:20:44+00:00,nigethugrug,2454,"@UxbEconomist07 @TeagueRoger @DCBMEP @oflynnsocial @iainmartin1 @adbalfour @DerrickBerthel1 @JeanMiSALMON @KellerZoe @TerraOrBust @TomGribbin6 @HollieTheCard @SimonFraser00 How big @ALapsleyFCDO leak eh?
Ultimately USA would be happy if #UkraineInvasion ends up being protracted to weaken #Putin &amp; test latest kit &amp; warn off China over Taiwan with carrier groups in area! EU meanwhile remains parasite as always!
Protracted dirty #UkraineWar suits USA !","@UxbEconomist07 @TeagueRoger @DCBMEP @oflynnsocial @iainmartin1 @adbalfour @DerrickBerthel1 @JeanMiSALMON @KellerZoe @TerraOrBust @TomGribbin6 @HollieTheCard @SimonFraser00 How big @ALapsleyFCDO leak eh?
Ultimately USA would be happy if #UkraineInvasion ends up being protracted to weaken #Putin &amp; test latest kit &amp; warn off China over Taiwan with carrier groups in area! EU meanwhile remains parasite as always!
Protracted dirty #UkraineWar suits USA !",0,0,0,0,"['UkraineInvasion', 'Putin', 'UkraineWar']",en,,"[User(username='UxbEconomist07', id=730526974003838976, displayname='UxbEconomist 🇬🇧🏴\U000e0067\U000e0062\U000e0065\U000e006e\U000e0067\U000e007f', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='TeagueRoger', id=2167073549, displayname='Roger Teague', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='DCBMEP', id=70664947, displayname='David C Bannerman', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='oflynnsocial', id=158021529, displayname=""Patrick O'Flynn"", rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='iainmartin1', id=110437588, displayname='Iain Martin', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='adbalfour', id=74444946, displayname='Alex Balfour', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='DerrickBerthel1', id=888393368492965890, displayname='Derrick Berthelsen', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='JeanMiSALMON', id=798965971650281473, displayname='Dr SALMON Jean-Michel', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='KellerZoe', id=1142469860, displayname='Zoe Keller', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='TerraOrBust', id=515723503, displayname='Gully Foyle #UKTrade', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='TomGribbin6', id=1214989503749853184, displayname='Tom Gribbin', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='HollieTheCard', id=2826134768, displayname='🇮🇩 🇩🇰Luck be a Lady! Hollie Ryder!', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='SimonFraser00', id=964035774, displayname='Simon Fraser', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
1485633467148820490,2022-01-24 15:19:54+00:00,IdeologyWars,48685,"#America's greatest enemy right now is itself. #Putin knows this, I think he always has. The #West takes what we had after 1991 for granted, and now is the time to change that outlook... lest it severely hurt us. #Ukraine #Crimea #Donbas #NATO #EU #UkraineWar","#America's greatest enemy right now is itself. #Putin knows this, I think he always has. The #West takes what we had after 1991 for granted, and now is the time to change that outlook... lest it severely hurt us. #Ukraine #Crimea #Donbas #NATO #EU #UkraineWar",2,0,0,0,"['America', 'Putin', 'West', 'Ukraine', 'Crimea', 'Donbas', 'NATO', 'EU', 'UkraineWar']",en,,
1485528096786857991,2022-01-24 08:21:12+00:00,cth_bell,11708,"If you believe Biden should hand Ukraine over to Putin 
due to avoid WWIII, you are Russian, Tucker Carlson or a brainwashed MAGA!#TuckerCarlson #MAGA #Republicans #Putin #ukrainewar https://t.co/LlKgiq3AjS","If you believe Biden should hand Ukraine over to Putin 
due to avoid WWIII, you are Russian, Tucker Carlson or a brainwashed MAGA!#TuckerCarlson #MAGA #Republicans #Putin #ukrainewar https://t.co/LlKgiq3AjS",47,30,15,1,"['TuckerCarlson', 'MAGA', 'Republicans', 'Putin', 'ukrainewar']",en,"[Photo(previewUrl='https://pbs.twimg.com/media/FJ2mslPXMAEczvr?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FJ2mslPXMAEczvr?format=jpg&name=large', altText=None)]",
1485416799751458816,2022-01-24 00:58:57+00:00,TyMurphy19,27216,"@JohnR925 @waltshaub @EricSchmittNYT @helenecooper So will more US troops be deployed?
Yes or No?

#UkraineWar
#StandWithUkraine","@JohnR925 @waltshaub @EricSchmittNYT @helenecooper So will more US troops be deployed?
Yes or No?

#UkraineWar
#StandWithUkraine",0,0,0,0,"['UkraineWar', 'StandWithUkraine']",en,,"[User(username='waltshaub', id=830908366377611266, displayname='Walter Shaub', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='EricSchmittNYT', id=341118458, displayname='Eric Schmitt', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='helenecooper', id=17601988, displayname='helene cooper', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
1485394089319317508,2022-01-23 23:28:42+00:00,IdeologyWars,48685,@StateDept is now recommending #US citizens make leave via publicly available routes. Not a good sign at all on our end and very ominous... #Russia #Ukraine #EU #NATO #Crimea #Donbas #UkraineWar #Europe,@StateDept is now recommending #US citizens make leave via publicly available routes. Not a good sign at all on our end and very ominous... #Russia #Ukraine #EU #NATO #Crimea #Donbas #UkraineWar #Europe,8,5,1,0,"['US', 'Russia', 'Ukraine', 'EU', 'NATO', 'Crimea', 'Donbas', 'UkraineWar', 'Europe']",en,,"[User(username='StateDept', id=9624742, displayname='Department of State', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
1485369167620493312,2022-01-23 21:49:41+00:00,MikaelBenBaruch,2050,"WAR is how the ELITE get RICHER!!!

The Original Reserve Bank was CREATED by the Elites for their own benefit. They PROSPERED during WWI and WWII before it faltered and became owned by the FEDS.

REMEMBER HISTORY!

#Ukraine #UkraineInvasion #Ukrainewar","WAR is how the ELITE get RICHER!!!

The Original Reserve Bank was CREATED by the Elites for their own benefit. They PROSPERED during WWI and WWII before it faltered and became owned by the FEDS.

REMEMBER HISTORY!

#Ukraine #UkraineInvasion #Ukrainewar",0,0,0,0,"['Ukraine', 'UkraineInvasion', 'Ukrainewar']",en,,
1484379176530419715,2022-01-21 04:15:48+00:00,ChanakyaForum,24296,BREAKING NEWS: Ukraine war necessary if Russia recognises breakaway regions – pro-Kremlin MP https://t.co/TLVNHU0fYP #Donetsk #kremlin #Luhansk #ProRussian #rebels #Ukraine #UkraineWar,BREAKING NEWS: Ukraine war necessary if Russia recognises breakaway regions – pro-Kremlin MP chanakyaforum.co/33QoZjY #Donetsk #kremlin #Luhansk #ProRussian #rebels #Ukraine #UkraineWar,4,2,0,0,"['Donetsk', 'kremlin', 'Luhansk', 'ProRussian', 'rebels', 'Ukraine', 'UkraineWar']",en,,
