id,date,content,view_count,likes,retweets,replies,quoteCount,sentiment
1476704616905678848,2021-12-30 23:59:51+00:00,Not a single US life shld be sacrificed in defense of Ukraine. There is much we can/should do to assist. But the idea that we'd risk a shooting war with Russia on an issue that isn't by any definition vital to US interests  would be a testament to our arrogance and stupidity.,100,30,14,8,6,0
1476704296326606857,2021-12-30 23:58:34+00:00,"U.S. flies another surveillance plane over Ukraine, hours before Biden-Putin call @MarquardtA reports https://t.co/PC08mwUXED",132,62,14,5,1,0
1476703733664911360,2021-12-30 23:56:20+00:00,"As Biden contends Putin's threats to Ukraine and Europe, a group of US colleagues lays out its recommendations. @ACEurope @ACEurasia @RugeBoris @SlawomirDebski @CER_IanBond @A_Sloat @KDonfried 

https://t.co/7YTa6WhoCo",143,48,19,1,4,0
1476702769495134208,2021-12-30 23:52:30+00:00,"Putin is going to invade Ukraine on some level.  He already established a Crimean stronghold under Obama.  Only thing in his way was Trump.

What he’s doing now is milking Biden for concessions &amp; appeasement.

The Biden Doctrine of Weakness has served up another win to Russia.",204,64,28,8,1,0
1476702467249573897,2021-12-30 23:51:18+00:00,"Biden laid out ""two paths"" for the Ukraine crisis in a call with Putin:

1. A ""path of diplomacy"" leading to de-escalation

2. One ""more focused on deterrence,"" including sanctions and more NATO activity in eastern member states if Russia invades Ukraine 

https://t.co/Fe9J44Rdr9",205,75,26,9,1,0
1476701618213163010,2021-12-30 23:47:56+00:00,"Biden laid out ""two paths"" for Ukraine in his call with Putin today — diplomacy or deterrence (sanctions and more NATO support to eastern Europe). 

Putin, according to the Kremlin, warned that sanctions could lead to a complete breakdown in relations. https://t.co/fob7xQh4p0",160,35,25,6,1,0
1476701320476123136,2021-12-30 23:46:45+00:00,"Thousands of Russian soldiers occupy Ukraine today. Russian-backed separatists continue to fight &amp; undermine Ukrainian sovereignty. If Putin orders more soldiers to invade Ukraine, it will be an escalation of on ongoing conflict, not a new war.",7086,2866,844,86,16,0
1476701123130003467,2021-12-30 23:45:58+00:00,"Biden told Putin that the United States and its partners would respond “decisively” if Russia launches an attack on Ukraine while also expressing support for diplomacy to de-escalate tensions, the White House said.

https://t.co/Nm7w10XV1X",113,38,15,0,2,0
1476700336459067406,2021-12-30 23:42:50+00:00,"BREAKING | Just after President Biden and President Putin talk by phone, a distinguished group of 24 experts and former senior officials issue a statement urging decisive action in the face of a looming Kremlin threat to escalate its war in Ukraine. https://t.co/uhC2x4tQ59",1179,299,176,12,18,0
1476700267831648256,2021-12-30 23:42:34+00:00,"""Washington should secure German agreement that it would prevent Nord Stream 2 from going into operation...Most important, the West can enhance the deterrent strength of Ukraine’s armed forces by providing military assistance on an expedited basis.""
https://t.co/csvttrRRhZ",194,114,16,15,0,0
1476700096704172032,2021-12-30 23:41:53+00:00,St. Andriy's Church was designed by Italian architect Rastrelli and built in the mid-18th century. Legend has it that the church stands on the spot where Andrew the Apostle foretold the foundation of Kyiv as the cradle of Slavic Christianity. (Photo: wavemeart) https://t.co/fWGmcrPKmr,431,206,45,3,2,0
1476699275623125000,2021-12-30 23:38:37+00:00,An action plan to deter Putin from invading Ukraine: https://t.co/1ezmJsu3ub,141,41,20,2,0,0
1476698872000954368,2021-12-30 23:37:01+00:00,"Putin has announced Russia will introduce a procedure for simplified acquisition of citizenship for residents of the former USSR and their children.

Millions of them live in the Baltic states, Ukraine, Georgia &amp; other flashpoints

Pictured: Map of Russian-speakers in the Baltics https://t.co/bxJI37d46n",216,81,27,21,11,0
1476697908791627776,2021-12-30 23:33:11+00:00,Biden offers Putin choice of ‘de-escalation’ or ‘serious costs and consequences’ over Ukraine aggression https://t.co/3IZowInFqc,681,291,78,26,8,0
1476697447493689345,2021-12-30 23:31:21+00:00,"Bloomberg Global Survey poll names biggest tail-risks for markets in 2022. Many of them are directly related to #geopolitics - the #Dragonbear 🇨🇳🇷🇺 and their mutual backing on China’s view on Taiwan respectively Russia’s view on Ukraine, war &amp; supply chains. #GlobalSystem #macro https://t.co/tldMQMrdTx",124,44,16,10,4,0
1476696773078913034,2021-12-30 23:28:41+00:00,"President Joe Biden told Russian President Vladimir Putin during a call on Thursday that the United States and its allies will respond decisively if there is a further invasion of Ukraine, the White House said.https://t.co/FFkYDiKBLE",331,131,40,304,29,0
1476695080975179777,2021-12-30 23:21:57+00:00,"Biden warned Putin US would impose “large-scale sanctions” if new attack against Ukraine, to which Putin said that would be a big mistake that could lead to complete break in US-Russia relations and “serious consequences,” Kremlin aide Yuri Ushakov said. https://t.co/qe3jwrVxNJ",127,32,19,4,3,0
1476693869324505092,2021-12-30 23:17:08+00:00,"US, its allies will respond decisively if Russia further invades Ukraine: Biden to Putin during phone call

Read @ANI Story | https://t.co/yQKpV4Mr5L

#USA #Russia #JoeBiden #VladimirPutin https://t.co/OP6vJ3bGxj",154,104,10,2,1,0
1476693364233883655,2021-12-30 23:15:08+00:00,Putin warns Biden against major sanctions over Ukraine: Kremlin  https://t.co/YzSJP8azbO,238,78,32,14,9,0
1476693319778406403,2021-12-30 23:14:57+00:00,"The President urged Russia to de-escalate tensions with Ukraine; made clear that US &amp; its allies will respond decisively if Russia further invades Ukraine. He also expressed support for diplomacy, starting early next year with bilateral Strategic Stability Dialogue: White House",476,381,19,4,2,0
1476691868708712455,2021-12-30 23:09:11+00:00,"US, allies and partners will respond “decisively” if Russia “further invades” Ukraine: Statement by Press Secretary Jen Psaki on President Biden’s Phone Call with President Putin https://t.co/teLS40is8I",156,46,22,3,2,0
1476690222171791362,2021-12-30 23:02:39+00:00,The last dictator to invade Ukraine ended up a suicide in a bunker.,1379,714,133,31,4,0
1476690160314114056,2021-12-30 23:02:24+00:00,White House Statement on Biden’s Phone Call with Putin of Russia. The text only references a Ukraine topic. POTUS laid out a pressure and engagement track to deter a major Russian offensive against Ukraine. Need to wait and see how Putin responds. https://t.co/eQWR2mfsgT,926,471,91,24,5,0
1476689635145302024,2021-12-30 23:00:19+00:00,"NEW: Biden - Putin’s call # 4

• 50 minutes
• “Serious and Substantive”
• US wants to see de-escalation on #Ukraine: waiting for “action”
• 3 meetings ahead: Jan 10,12,13
• US flew spy ✈️ over E Ukraine: CNN 
https://t.co/rNMo7UQWQq",150,30,24,3,0,0
1476689414285889537,2021-12-30 22:59:26+00:00,Putin seems to be very upset because of the threatened sanctions. Another indication that he really plans to invade Ukraine.,137,57,16,4,1,0
1476689087696408576,2021-12-30 22:58:08+00:00,#BREAKING Biden tells Putin US to 'respond decisively' to any Ukraine invasion: White House https://t.co/q1lNFtGdwK,224,49,35,4,4,0
1476688432353222661,2021-12-30 22:55:32+00:00,"🇺🇸🇷🇺🚨| Si l'Occident impose des sanctions destructrices après l'invasion de l'Ukraine par la Russie, il y aura un arrêt complet des relations entre la Russie et les États-Unis. - Poutine",323,123,40,12,5,0
1476687856928276480,2021-12-30 22:53:15+00:00,"Ushakov: Putin responds to Biden, if the West imposes destructive sanctions after Russia invades Ukraine, there will be complete shutdown of relations between Russia and U.S https://t.co/ooWfRoWD7p",878,203,135,42,79,0
1476687517550325764,2021-12-30 22:51:54+00:00,"Biden has told Putin that the United States and its allies and partners will ""respond decisively"" if Russia further invades Ukraine.",125,45,16,4,6,0
1476687301728256001,2021-12-30 22:51:02+00:00,"Так як автору цього твіту @OutUkraine кільканадцять разів вказали на відверто маніпуляційний та проклоунський характер означеного допису, а відповідної реакції досі немає, то буду вважати це офіційною позицією ""out of context Ukraine"".
Тред тут: https://t.co/84nJuGyDiP https://t.co/ZRF3qgQYe7",189,34,31,4,0,0
